pat_no,app_no,pat_claim,app_claim
9048985,20140341317,,"3. A transmission apparatus comprising: an encoding unit configured to generate an encoded block using a predetermined error correction block encoding method; a generation unit configured to generate a first transmission signal z1 and a second transmission signal z2 by performing, for each of a plurality of slots, a precoding process on a first modulated signal s1 and a second modulated signal s2 that have been generated from the encoded block; and a transmission unit configured to transmit the first transmission signal z1 and the second transmission signal z2 from a first antenna and a second antenna, respectively, in the same frequency at the same time, wherein the generation unit is further configured to select one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] each defining the precoding process, and generates the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, 52).sup.T, the N matrices F[i] satisfy   F    [ i ]   =   1    .alpha. 2 + 1  (    j.theta. 11     ( i )  .alpha. .times.     j (    .theta. 11     ( i )   + .lamda.  )     .alpha. .times.     j.theta. 21     ( i )      j    (    .theta. 21     ( i )   + .lamda. + .pi.  )  )   ##EQU00221##  where .lamda. represents an arbitrary angle, and .alpha. represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the-     ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x, .A-inverted.y (x.noteq.y; x, y=0, 1, 2, . . . , N-2, N-1), and the generation unit performs the generation corresponding to the encoded block by selecting each of the N matrices F[i] the same number of times."
9048985,20140341317,,"4. The transmission apparatus of claim 3, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either   j   (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1  )    )      j    (    .theta. 11     ( x )   -   .theta. 21     ( x )    )     =      j    (   2   .pi.  N  )      for    .A-inverted.  x    ( x = 0  , 1 , 2 ,  ,  N - 2   ) ##EQU00222##  or ##EQU00222.2##  j    (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1 )    )   j    (    .theta. 11     ( x )   -   .theta. 21     ( x )  )     = j    (  -   2   .pi.  N   )      for .A-inverted.   x    (   x = 0  , 1 , 2 ,  ,  N - 2   )   .     ##EQU00222.3## "
9048985,20140341317,,"5. A reception method comprising: an acquisition step of acquiring a reception signal obtained by receiving a first transmission signal z1 and a second transmission signal z2 transmitted from a first antenna and a second antenna, respectively, in the same frequency at the same time, the first transmission signal z1 and the second transmission signal z2 having been generated as a result of a predetermined generation process performed on a first modulated signal s1 and a second modulated signal s2, the first modulated signal s1 and the second modulated signal s2 having been generated from an encoded block generated with use of a predetermined error correction block encoding method; and a demodulation step of performing a demodulation process on the acquired reception signal, the demodulation process corresponding to the predetermined generation process, wherein the predetermined generation process includes: selecting one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] defining a precoding process that is performed on a plurality of modulated signals, and generating the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, 52).sup.T, the N matrices F[i] satisfy   F    [ i ]   =   1    .alpha. 2  + 1  (    j.theta.     11     ( i )  .alpha. .times.     j    (    .theta. 11     ( i )   + .lamda.  )     .alpha. .times. j.theta. 21     ( i ) j    (    .theta. 21     ( i )   + .lamda. + .pi.  )  ) ##EQU00223##  where .lamda. represents an arbitrary angle, and .alpha.     represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the-     ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x, .A-inverted.y (x.noteq.y;x,y=0, 1, 2, . . . , N-2, N-1), and in the predetermined generation process corresponding to the encoded block, each of the N matrices F[i] is selected the same number of times."
9048985,20140341317,,"6. The reception method of claim 5, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either   j   (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1  )    )      j    (    .theta. 11     ( x )   -   .theta. 21     ( x )    )     =      j    (   2   .pi.  N  )      for    .A-inverted.  x    ( x = 0  , 1 , 2 ,  ,  N - 2   ) ##EQU00224##  or ##EQU00224.2##  j    (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1 )    )   j    (    .theta. 11     ( x )   -   .theta. 21     ( x )  )     = j    (  -   2   .pi.  N   )      for .A-inverted.   x    (   x = 0  , 1 , 2 ,  ,  N - 2   )   .     ##EQU00224.3## "
9048985,20140341317,,"7. A reception apparatus comprising: an acquisition unit configured to acquire a reception signal obtained by receiving a first transmission signal z1 and a second transmission signal z2 transmitted from a first antenna and a second antenna, respectively, in the same frequency at the same time, the first transmission signal z1 and the second transmission signal z2 having been generated as a result of a predetermined generation process performed on a first modulated signal s1 and a second modulated signal s2, the first modulated signal s1 and the second modulated signal s2 having been generated from an encoded block generated with use of a predetermined error correction block encoding method; and a demodulation unit configured to perform a demodulation process on the acquired reception signal, the demodulation process corresponding to the predetermined generation process, wherein the predetermined generation process includes: selecting one matrix from among N matrices F[i], where i is an integer no less than 0 and no more than N-1, and N is an integer 3 or greater, by hopping between the matrices over each of the plurality of slots, the N matrices F[i] defining a precoding process that is performed on a plurality of modulated signals, and generating the transmission signal z1 and the transmission signal z2 by performing, for each of the plurality of slots, a precoding process corresponding to the selected matrix F[i] on the first modulated signal s1 and the second modulated signal s2, the first transmission signal z1 and the second transmission signal z2 satisfy (z1, z2).sup.T=F[i](s1, 52).sup.T, the N matrices F[i] satisfy   F    [ i ]   =   1    .alpha. 2  + 1  (    j.theta. 11     ( i )  .alpha. .times.     j    (    .theta. 11   ( i )   + .lamda.  )     .alpha. .times. j.theta. 21     ( i )      j    (    .theta. 21     ( i )   + .lamda. + .pi.  )  )  ##EQU00225##  where .lamda. represents an arbitrary angle, and .alpha.     represents a positive real number excluding 1, .theta..sub.11(i) and .theta..sub.21(i) satisfy e.sup.j(.theta..sup.11.sup.(x)-.theta..sup.21.sup.(x)).noteq.e.sup.j(.the-     ta..sup.11.sup.(y)-.theta..sup.21.sup.(y)) for .A-inverted.x, .A-inverted.y (x.noteq.y;x,y=0, 1, 2, . . . , N-2, N-1), and in the predetermined generation process corresponding to the encoded block, each of the N matrices F[i] is selected the same number of times."
9048985,20140341317,,"8. The reception apparatus of claim 7, wherein .theta..sub.11(i) and .theta..sub.21(i) of the N matrices F[i] further satisfy either   j   (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1  )    )      j    (    .theta. 11     ( x )   -   .theta. 21     ( x )    )     =      j    (   2   .pi.  N  )      for    .A-inverted.  x    ( x = 0  , 1 , 2 ,  ,  N - 2   ) ##EQU00226##  or ##EQU00226.2##  j    (    .theta. 11     (  x + 1  )   -   .theta. 21     (  x + 1 )    )   j    (    .theta. 11     ( x )   -   .theta. 21     ( x )  )     = j    (  -   2   .pi.  N   )      for .A-inverted.   x    (   x = 0  , 1 , 2 ,  ,  N - 2   )   .     ##EQU00226"
9048941,20110188562,"1. A method comprising: identifying which bit transitions in a test input to a channel in an electronic device are capable of introducing non-linearity on the channel;  determining, by a computing system, a characteristic response that models non-linear characteristics of the channel, wherein the characteristic response includes a first component corresponding to the non-linear characteristics of the channel and a second component corresponding to linear characteristics of the channel, and wherein determining the characteristic response of the channel comprises deriving the first component of the characteristic response based, at least in part, on the identified bit transitions in the test input to the channel and a measured test output from the channel in response to the test input;  and predicting, by the computing system, signal integrity associated with the channel based, at least in part, on the characteristic response of the channel.",
9048941,20110188562,"2. The method of claim 1, wherein predicting the signal integrity associated with the channel further comprising: utilizing the characteristic response of the channel to derive output of the channel based, at least in part, on theoretical input;  and generating a value for the signal integrity associated with the channel based on an accumulation of the derived output of the channel.",
9048941,20110188562,"3. The method of claim 2, wherein generating the value for the signal integrity associated with the channel further comprising: examining the accumulation of the derived output of the channel for at least one of phase variations or amplitude variations;  and generating the value for the signal integrity associated with the channel based on the phase variations or the amplitude variations in the accumulation of the derived output of the channel.",
9048941,20110188562,"4. The method of claim 1, wherein determining the characteristic response of the channel further comprising deriving the second component of the characteristic response based, at least in part, on the derived first component of the characteristic response and the measured test output of the channel.",
9048941,20110188562,"5. The method of claim 1, wherein the non-linear characteristics of the channel correspond to at least one of a non-linear operation of a driver configured to drive input to the channel or a non-linear operation of a receiver configured to receive output from the channel.",
9048941,20110188562,"6. A system comprising: an input sequence unit configured to identify which bit transitions in test input for a channel in an electronic device are capable of introducing non-linearity on the channel;  and a response generation unit configured to determine a characteristic response that models non-linear characteristics of the channel, wherein the characteristic response includes a first component corresponding to the non-linear characteristics of the channel and a second component corresponding to linear characteristics of the channel, and wherein response generation unit is configured to derive the first component of the characteristic response based, at least in part, on the identified bit-transitions in the test input and a measured test output from the channel in response to the test input.",
9048941,20110188562,"7. The system of claim 6, further comprising a signal integrity tool configured to utilize the characteristic response of the channel to derive output of the channel based, at least in part, on theoretical input, examine an accumulation of the derived output of the channel for at least one of phase variations or amplitude variations, and generate a value for signal integrity associated with the channel based on the phase variations or the amplitude variations in the accumulation of the derived output of the channel.",
9048941,20110188562,"8. The system of claim 6, further comprising a simulator to provide the test input to the channel during simulation of a circuit design describing the electronic device, and to measure the output of the channel in response to the test input.",
9048941,20110188562,"9. The system of claim 6, wherein the response generation unit is configured to derive the second component of the characteristic response based, at least in part, on the derived first component of the characteristic response and the measured test output of the channel.",
9048941,20110188562,"10. The system of claim 6, wherein the non-linear characteristics of the channel correspond to at least one of a non-linear operation of a driver configured to drive input to the channel or a non-linear operation of a receiver configured to receive output from the channel.",
9048941,20110188562,"11. An apparatus comprising at least one computer-readable memory device storing instructions configured to cause one or more processing devices to perform operations comprising: identifying which bit transitions in test input for a channel in an electronic device are capable of introducing non-linearity on the channel;  and determining a characteristic response that describes non-linear characteristics of the channel, wherein the characteristic response includes a first component corresponding to the non-linear characteristics of the channel and a second component corresponding to linear characteristics of the channel, and wherein determining the characteristic response of the channel comprises deriving the first component of the characteristic response based, at least in part, on the identified bit transitions in the test input and a measured test output from the channel in response to the test input.",
9048941,20110188562,"12. The apparatus of claim 11, wherein the instructions are configured to cause the one or more processing devices to perform operations further comprising predicting a signal integrity associated with the channel based, at least in part, on the characteristic response of the channel.",
9048941,20110188562,"13. The apparatus of claim 12, wherein predicting the signal integrity associated with the channel further comprising: utilizing the characteristic response of the channel to derive output of the channel based, at least in part, on theoretical input;  examining an accumulation of the derived output of the channel for at least one of phase variations or amplitude variations;  and generating a value for the signal integrity associated with the channel based on the phase variations or the amplitude variations in the accumulation of the derived output of the channel.",
9048941,20110188562,"14. The apparatus of claim 11, wherein determining the characteristic response of the channel further comprising deriving the second component of the characteristic response based, at least in part, on the derived first component of the characteristic response and the measured test output of the channel.",
9048941,20110188562,"15. The apparatus of claim 11, wherein the non-linear characteristics of the channel correspond to at least one of a non-linear operation of a driver configured to drive input to the channel or a non-linear operation of a receiver configured to receive output from the channel.",
9048941,20110188562,,"1. A computer-implemented method for extracting a characteristics response for a non-linear transmit channel, the method comprising: identifying a first input sequence, the first input sequence being N bits in length, each bit corresponding to a bit interval; identifying a second input sequence, the second input sequence equaling the ones complement of the first input sequence and also being N bits in length; deriving a first input matrix from the first input sequence, wherein the first column corresponds to the first input sequence and subsequent columns correspond to the first input sequence cyclically shifted based upon the column number; deriving a second input matrix from the second input sequence, wherein the first column corresponds to the second input sequence and subsequent columns correspond to the second input sequence cyclically shifted based upon the column number; identifying a weighting equation, the weighting equation defining a weighting value based upon an input sequence. deriving a first weighted matrix from the first input matrix, wherein the first weighted matrix values are based in part upon the weighting equation; deriving a second weighted matrix from the second input matrix, wherein the second weighted matrix values are based in part upon the weighting equation; receiving a first response sequence, the first response sequence being the output of a non-linear transmit channel to the first input sequence and wherein the first response sequence includes P samples per bit interval; receiving a second response sequence, the second response sequence being the output of the non-linear transmit channel to the second input sequence and wherein the second response sequence also includes P samples per bit interval; identifying a representation of the non-linear transmit channel based in part upon a symmetrical component, an asymmetrical component, an input sequence, a weighting factor, and a response sequence; for each sample P per bit interval, derive the symmetrical component by solving the representation of the non-linear transmit channel for the symmetrical component; for each sample P per bit interval, derive the asymmetrical component by solving the representation of the non-linear transmit channel for the asymmetrical component; derive a characteristic response of the non-linear transmit channel based in part upon the derived symmetrical components and the derived asymmetrical components."
9048941,20110188562,,"2. The computer-implemented method recited in claim 1, further comprising: deriving a worst-case input sequence for the non-linear transmit channel based in part upon the characteristic response; and simulating the response of the non-linear transmit channel to the worst-case input sequence."
9048941,20110188562,,"3. The computer implemented method recited in claim 1, further comprising generating an eye diagram for the non-linear channel based in part upon the characteristic response."
9048941,20110188562,,"4. A computer-implemented method for extracting a characteristics response for a non-linear transmit channel, the method comprising: identifying a first input sequence; deriving the ones compliment of the first input sequence as a second input sequence; determining the response of a channel to the first input sequence and the second input sequence; identifying a representation of the channel based in part upon an input to the channel, an output from the channel, and a characteristic response of the channel; generating a matrix for each of the first input sequence, the second input sequence the response of the channel to the first input sequence, and the response of the channel to the second input sequence; forming a system of equation from the representation and the four matrices; and deriving the characteristic response of the channel by iteratively solving the system of equations."
9048941,20110188562,,"5. The computer implemented method recited in claim 4, wherein determining the response of a channel to the first input sequence and the second input sequence includes: simulating the response of the channel to the first input sequence; and simulating the response of the channel to the second input sequence."
9043855,20140026176,"1. A system comprising: a coupling device for use in a hybrid fiber coaxial (HFC) network, said coupling device configured to: detect control messages in said HFC network;  disable an upstream path through said coupling device when there is only noise incident on said upstream path, wherein said disable is in response to one or more of said control messages that indicates that no cable modem downstream of said coupling device is, nor will be for some determined time in the future, transmitting;  and enable said upstream path through said coupling device when a desired transmission from a cable modem downstream of said coupling device is incident on said upstream path, wherein said enable is in response to one or more of said control messages that indicates that a cable modem downstream of said coupling device is, or will be at some determined time in the future, transmitting.",
9043855,20140026176,"2. The system of claim 1, wherein said coupling device is a trunk or distribution amplifier.",
9043855,20140026176,"3. The system of claim 1, wherein said coupling device comprises a single upstream interface coupled to a plurality of downstream interfaces.",
9043855,20140026176,"4. The system of claim 1, wherein: said coupling device comprises a signal strength indicator (SSI);  said disable is in response to signal strength indicated by said SSI being below a threshold;  said enable is in response to said signal strength indicated by said SSI being above said threshold.",
9043855,20140026176,"5. The system of claim 1, wherein one of said control messages indicates a service group of a cable modem that is, or will be at some determined time in the future, transmitting.",
9043855,20140026176,"6. The system of claim 1, wherein one of said control messages comprises an indication of a service group of a cable modem that is, or will be at some determined time in the future, transmitting.",
9043855,20140026176,"7. The system of claim 1, wherein said coupling device comprises a switching element and a circulator.",
9043855,20140026176,"8. The system of claim 1, wherein said coupling device comprises a switch and said disable comprises opening of said switch.",
9043855,20140026176,"9. The system of claim 1, wherein said coupling device comprises an amplifier and said disable comprises a reducing of a gain of said amplifier.",
9043855,20140026176,"10. A method comprising: performing in a coupling device of a hybrid fiber coaxial (HFC) network: detecting control messages in said HFC network;  disabling an upstream path through said coupling device when there is only noise incident on said upstream path, wherein said disabling is in response to one or more of said control messages indicating that no cable modem downstream of said coupling device is, nor will be for some determined time in the future, transmitting;  and enabling said upstream path through said coupling device when a desired transmission from a cable modem downstream of said coupling device is incident on said upstream path, wherein said enabling is in response to one or more of said control messages indicating that a cable modem downstream of said coupling device is, or will be at some determined time in the future, transmitting.",
9043855,20140026176,"11. The method of claim 10, wherein said coupling device is a trunk or distribution amplifier.",
9043855,20140026176,"12. The method of claim 10, wherein said coupling device comprises a single upstream interface coupled to a plurality of downstream interfaces.",
9043855,20140026176,"13. The method of claim 10, wherein: said coupling device comprises a signal strength indicator (SSI);  said disabling is in response to signal strength indicated by said SSI being below a threshold;  said enabling is in response to said signal strength indicated by said SSI being above said threshold.",
9043855,20140026176,"14. The method of claim 10, wherein one of said control messages indicates a service group of said cable modem that is, or will be at some determined time in the future, transmitting.",
9043855,20140026176,"15. The method of claim 10, wherein said coupling device comprises a pair of cross-coupled amplifiers for each downstream interface.",
9043855,20140026176,"16. The method of claim 10, wherein said coupling device comprises a switching element and a circulator.",
9043855,20140026176,"17. The method of claim 10, wherein said coupling device comprises a switch and said disabling comprises opening said switch.",
9043855,20140026176,"18. The method of claim 10, wherein said coupling device comprises an amplifier and said disabling comprises reducing a gain of said amplifier.",
9043855,20140026176,,"1. A system comprising: a coupling device for use in a hybrid fiber coaxial (HFC) network, said coupling device configured to: disable an upstream path through said coupling device when there is only noise incident on said upstream path; and enable said upstream path through said coupling device when a desired transmission from a cable modem downstream of said coupling device is incident on said upstream path."
9043855,20140026176,,"2. The system of claim 1, wherein said coupling device is a trunk or distribution amplifier."
